Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.494,847.04,2134.40,"Laurel, MD 207073613
(39.09635000005261, -76.86878999965859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.502,759.75,2145.00,"Phoenix, MD 211312036
(39.50694000018103, -76.56867000012028)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.523,861.25,2175.00,"Greenbelt, MD 207702166
(38.99963999998619, -76.88768000023168)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.565,882.40,2235.44,"Rockville, MD 208525802
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Calvert,1.596,863.00,2280.00,"Owings, MD 207363141
(38.694290000283445, -76.6189300003191)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.57,885.26,2243.19,"Clinton, MD 207355801
(38.7568599997893, -76.89952999990942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.576,747.89,2251.10,"Potomac, MD 208543208
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.597,830.20,2281.00,"Columbia, MD 210443696
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.544,836.75,2205.00,"Upper Marlboro, MD 207741472
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.567,848.50,2238.59,"Chevy Chase, MD 208155160
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.575,887.50,2250.00,"Derwood, MD 208552274
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.581,855.65,2259.00,"Silver Spring, MD 209012615
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.568,884.00,2240.04,"Takoma Park, MD 209125419
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.575,852.50,2250.00,"Potomac, MD 208546056
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.632,781.00,2332.00,"Sliver Spring, MD 209024853
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.656,927.75,2365.00,"University Park, MD 207821190
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.645,822.50,2350.00,"Frederick, MD 217029424
(39.44454000042083, -77.44032999992942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.628,864.75,2325.00,"Emmitsburg, MD 217279505
(39.69537999998715, -77.32883000040403)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Washington,1.644,852.15,2348.00,"Hagerstown, MD 217424470
(39.66122999986476, -77.68641000032113)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.638,877.00,2340.00,"Sandy Spring, MD 208601520
(39.147559999994144, -77.02959000007831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.628,913.75,2325.00,"Bethesda, MD 208143905
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.668,934.05,2383.00,"Baltimore, MD 212305301
(39.25483231445992, -76.62224999963763)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.684,941.75,2405.00,"University Park, MD 207822156
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.666,735.00,2380.00,"Bethesda, MD 208171753
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.689,804.42,2412.64,"Gaithersburg, MD 208781942
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.68,835.00,2400.00,"Baltimore, MD 212122703
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.665,897.65,2379.00,"Ocean Pines, MD 218111609
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.663,793.00,2375.00,"Rockville, MD 208552507
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.666,933.00,2380.00,"Silver Spring, MD 209105040
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.684,819.25,2405.00,"Baltimore, MD 212151505
(39.34627000036039, -76.68328000007182)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.693,841.65,2419.00,"Baltimore, MD 212062336
(39.33622000005312, -76.54174000020072)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.68,840.00,2400.00,"Rockville, MD 208502114
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.67,795.10,2386.00,"Silver Spring, MD 209014404
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.733,930.90,2475.40,"Chevy Chase, MD 208156008
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.732,808.40,2474.00,"Baltimore, MD 212292110
(39.28435000025246, -76.69177000038508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.715,957.50,2450.00,"Rockville, MD 208503729
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.73,860.20,2472.00,"Clarksville, MD 210291670
(39.202059999669416, -76.94143999995589)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.729,964.50,2470.00,"Rockville, MD 208503561
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.71,954.84,2442.40,"Columbia, MD 210461063
(39.17356999975584, -76.84446000002885)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.75,975.00,2500.00,"Potomac, MD 208542831
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.729,841.82,2469.50,"Baltimore, MD 212151505
(39.34627000036039, -76.68328000007182)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.745,799.30,2493.00,"Freeland, MD 210539540
(39.69398000017702, -76.71207000033007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Calvert,1.785,852.50,2550.00,"Dunkirk, MD 207542021
(38.734629999874755, -76.65581000043102)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,1.78,954.80,2542.31,"St. Michaels, MD 216630457
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.77,862.65,2529.00,"Burtonsville, MD 208662046
(39.100279999622444, -76.93384999977752)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,1.787,993.40,2552.57,"Abingdon, MD 210092714
(39.4703499999527, -76.30090000043452)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.813,957.50,2590.00,"Frederick, MD 217037139
(39.38888000031193, -77.44599999970006)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.773,937.55,2533.00,"Middletown, MD 217696636
(39.44272000012808, -77.54914999997237)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.783,991.45,2547.00,"Ijamsville, MD 217549744
(39.33486999985075, -77.30314000011077)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,1.803,1001.44,2575.57,"Woodbine, MD 217979517
(39.344940000181055, -77.06468999994337)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.806,862.95,2579.85,"Gaithersburg, MD 208864358
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.827,873.45,2609.85,"Montgomery Village, MD 208861311
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.84,919.91,2628.00,"Gaithersburg, MD 208773457
(39.14119000031843, -77.19101000031111)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.82,1010.00,2600.00,"Derwood, MD 208551007
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.82,975.00,2600.00,"Silver Spring, MD 209013338
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.831,875.60,2616.00,"Burtonsville, MD 208661709
(39.100279999622444, -76.93384999977752)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.869,999.50,2670.00,"Bethesda, MD 208176956
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.894,1011.82,2705.21,"Silver Spring, MD 209045447
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.88,1004.75,2685.00,"Chevy Chase, MD 208155345
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.876,915.50,2680.00,"Annapolis, MD 214033474
(38.95672000012809, -76.48971000021618)"
