Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Calvert,1.385,601.51,1977.95,"North Beach, MD 207143062
(38.70995999985428, -76.53677000033508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.89,1045.00,2700.00,"Rockville, MD 208522864
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.82,1010.00,2600.00,"Gaithersburg, MD 208823206
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.506,730.35,2151.00,"Laurel, MD 207231362
(39.129889999923705, -76.85597000021517)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.204,579.50,1720.00,"Crofton, MD 211141836
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.797,998.30,2566.57,"Crofton, MD 211141518
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.835,1412.50,4050.00,"Rockville, MD 208522864
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.252,2221.00,10360.00,"Silver Spring, MD 209023508
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.345,2632.25,7635.00,"Rockville, MD 208502762
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.5,715.05,2143.00,"Olney, MD 208321887
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.825,1389.75,4035.00,"Ellicott City, MD 210436959
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.738,1968.88,5339.66,"Rockville, MD 208532306
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.162,507.75,1660.00,"Baltimore, MD 212123252
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.796,875.25,2565.00,"Annapolis, MD 214031904
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,3.873,2001.42,5532.64,"Secretary, MD 216640491
(38.609309999756874, -75.94688000011178)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.437,1178.58,3481.66,"Bethesda, MD 208141121
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.317,2601.10,7596.00,"Baltimore, MD 212101339
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.596,1800.04,9423.54,"Rockville, MD 208523513
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.674,840.25,2391.25,"Perry Hall, MD 211289751
(39.402354077578764, -76.44293000041904)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.288,1744.07,4697.38,"Bethesda, MD 208171551
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.295,1887.45,4707.00,"Olney, MD 208322005
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.402,2300.08,6288.00,"Derwood, MD 208551706
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.205,1000.73,3150.00,"Takoma Park, MD 209125707
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.199,2059.28,5997.95,"Kensington, MD 208953225
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.696,847.79,2422.28,"Ellicott City, MD 210421808
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.706,1452.99,3865.70,"Clinton, MD 207353527
(38.7568599997893, -76.89952999990942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.582,1356.19,3689.12,"Olney, MD 208322808
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.943,971.25,2775.00,"Jefferson, MD 217557319
(39.36481999964343, -77.55434999965263)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.428,1278.93,3468.40,"Rockville, MD 208523430
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.933,1531.50,4190.00,"University Park, MD 207821163
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.676,3100.00,10966.10,"Potomac, MD 208542723
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.142,670.92,1631.20,"Parkville, MD 212343827
(39.38911000012655, -76.5410800003416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.792,996.00,2560.30,"Fort Washington, MD 207441121
(38.75808999985378, -76.9834199996331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.714,957.15,2449.00,"Berlin, MD 218111853
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.083,988.75,2975.00,"Baltimore, MD 212142848
(39.352089999853774, -76.56387999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,3.002,1174.50,4288.00,"Baltimore, MD 212174129
(39.30703000023448, -76.63587999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.495,1347.32,3563.75,"Potomac, MD 208543427
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.953,1999.10,7075.00,"Baltimore, MD 212312620
(39.287419999733345, -76.59137000012527)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.109,1654.41,4441.14,"Takoma Park, MD 209125719
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.388,1062.95,3412.00,"Baltimore, MD 212151735
(39.34627000036039, -76.68328000007182)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.08,1600.00,4400.00,"Jessup, MD 207949463
(39.15254999988275, -76.79444999966762)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.735,467.50,1050.00,"Montgomery Village, MD 208861916
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,1.432,677.50,2045.00,"Finksburg, MD 210481222
(39.50411999963842, -76.91155999979401)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.246,1087.80,3208.00,"Potomac, MD 208543447
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,3.322,1725.75,4745.00,"Ocean City, MD 218426006
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.275,1148.47,3250.44,"Gaithersburg, MD 208783622
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.469,1834.36,4955.30,"Silver Spring, MD 209012630
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,3.098,1500.00,4425.00,"Thurmont, MD 217882526
(39.603920000108076, -77.40742999989442)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,6.206,3062.75,8865.00,"Westminster, MD 211578127
(39.55741999973338, -76.98679999991992)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.691,910.25,2415.00,"Rockville, MD 208505413
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.355,1777.58,4793.10,"Silver Spring, MD 209046858
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.524,852.12,2177.60,"Silver Spring, MD 209013879
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.319,2221.46,6170.60,"Bethesda, MD 208143961
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.697,948.59,2424.55,"Silver Spring, MD 209066136
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.315,1257.60,3307.50,"Kensington, MD 208952325
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.12,560.00,1600.00,"Annapolis, MD 214012222
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.296,1930.58,7565.39,"Baltimore, MD 212121207
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.205,1202.50,3150.00,"Rockville, MD 208502732
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.741,1401.30,3916.00,"Timonium, MD 210933321
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.85,1025.00,2643.00,"University Park, MD 207821118
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,1.799,1994.77,2569.50,"Salisbury, MD 218044211
(38.35523000006464, -75.57144000035555)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.681,1440.50,3830.00,"Pikesville, MD 212084757
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Cecil,3.092,1505.95,4417.00,"Elkton, MD 219214506
(39.6250899997039, -75.84549000006331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.725,2244.80,6750.00,"Ellicott City, MD 210421423
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.025,2112.50,5750.00,"Chevy Chase, MD 208156515
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.267,698.50,1810.00,"Rockville, MD 208501148
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.113,516.50,1590.00,"Baltimore, MD 212301509
(39.25483231445992, -76.62224999963763)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.593,796.25,2275.00,"Columbia, MD 210444351
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,5.402,2766.13,7717.52,"Salisbury, MD 218042212
(38.35523000006464, -75.57144000035555)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.794,877.49,2562.69,"Silver Spring, MD 209014266
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.533,2366.60,6476.00,"Potomac, MD 208541349
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.17,649.85,1671.00,"Rockville, MD 208502902
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.689,826.22,983.70,"Rockville, MD 208524663
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.171,1650.50,4530.00,"Derwood, MD 208552225
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.037,1083.50,2910.00,"Millersville, MD 211082419
(39.10140999957201, -76.62140000000983)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.705,2395.06,6721.60,"Odenton, MD 211132266
(39.076640000335885, -76.70949000006328)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.725,1640.00,6750.00,"Kensington, MD 208954221
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.618,826.44,2312.00,"Baltimore, MD 212101920
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.24,1185.00,3200.00,"University Park, MD 207821448
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.825,1477.25,4035.00,"Silver Spring, MD 209025714
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.359,1279.35,3369.61,"Takoma Park, MD 209124101
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.431,2178.00,6330.00,"Laurel, MD 207231083
(39.129889999923705, -76.85597000021517)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.477,1165.00,3538.00,"Catonsville, MD 212283401
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.17,1106.00,3100.00,"Montgomery Village, MD 208864956
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.239,1579.45,4627.00,"Rockville, MD 208503620
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.016,1572.87,4308.20,"Gambrills, MD 210542007
(38.986801603111644, -76.6637349998702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.924,1600.00,5605.00,"Bethesda, MD 208175621
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.442,698.50,2060.00,"Baltimore, MD 212121136
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.367,1748.50,4810.00,"Montgomery Village, MD 208865101
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.616,908.15,2309.00,"Silver Spring, MD 209021573
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,St. Mary's,3.36,1745.00,4800.00,"Mechanicsville, MD 206595376
(38.42807000013056, -76.72860999955168)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.46,829.81,2085.19,"Ellicott City, MD 210436033
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.584,1823.75,5120.00,"University Park, MD 207821188
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,0.858,493.75,1225.00,"Claiborne, MD 216242018
(38.78247999955249, -76.22293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.966,1083.18,2809.10,"Chevy Chase, MD 208155044
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,8.840999999999999,3100.00,12630.00,"Baltimore, MD 212142830
(39.352089999853774, -76.56387999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.706,312.93,1008.36,"College Park, MD 207403003
(38.99670000020501, -76.92859999959018)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.528,3100.00,9325.00,"Silver Spring, MD 209031221
(39.011170000195534, -76.98320000027962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.683,2196.31,6690.24,"Derwood, MD 208551918
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.715,768.15,2450.00,"Ellicott City, MD 210421008
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.189,1694.47,4555.64,"Rockville, MD 208501800
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,4.295,1436.47,6135.00,"Middletown, MD 217697805
(39.44272000012808, -77.54914999997237)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,4.41,2305.00,6300.00,"University Park, MD 207821157
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.564,2882.15,7949.00,"Baltimore, MD 212074827
(39.32404000044585, -76.71700000014971)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.253,1104.19,3219.11,"Crofton, MD 211141803
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,3.595,1660.69,5135.71,"Trappe, MD 216731875
(38.65948999986375, -76.04739999961015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.229,1214.40,3184.00,"Damascus, MD 208721345
(39.28261999961347, -77.21232999962962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,0.893,497.25,1275.00,"Middletown, MD 217697618
(39.44272000012808, -77.54914999997237)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,12.166,3100.00,17380.00,"Annapolis, MD 214033586
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.323,2261.46,6175.60,"Potomac, MD 208543046
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,10.08,3100.00,14400.00,"Potomac, MD 208541923
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.115,3100.00,8735.00,"Bethesda, MD 208172336
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.205,1062.50,3150.00,"University Park, MD 207821189
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.23,2180.19,6043.39,"Takoma Park, MD 209127364
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.328,627.01,3325.50,"Clarksville, MD 210291206
(39.202059999669416, -76.94143999995589)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,4.234,2182.05,6048.70,"Fort Washington, MD 207441768
(38.75808999985378, -76.9834199996331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.138,1634.00,4483.00,"Upper Marlboro, MD 207742279
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,2.45,1325.00,3500.00,"La Plata, MD 206469508
(38.52486999985075, -76.98415999958416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.564,881.86,2233.91,"Columbia, MD 210461453
(39.17356999975584, -76.84446000002885)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.646,1423.00,3780.00,"Bethesda, MD 208171607
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.973,1600.00,5676.00,"Towson, MD 212046715
(39.402319999568476, -76.6159899996386)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.775,952.25,2535.00,"Silver Spring, MD 209063231
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.89,1405.24,4129.22,"Rockville, MD 208524351
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,4.124,1683.06,5890.73,"Cambridge, MD 216133441
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.522,1600.00,5032.00,"Accokeek, MD 206079728
(38.669390000448345, -77.01567000027012)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.7,450.00,1000.00,"Olney, MD 208322259
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.113,1156.56,3018.75,"Silver Spring, MD 209042929
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,1.305,717.65,1864.73,"Delmar, MD 218752373
(38.44256999970588, -75.56286999995041)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.14,2029.94,5914.10,"Potomac, MD 208542818
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.727,1414.25,3895.00,"Mt. Airy, MD 217714511
(39.38336000026396, -77.15472999998934)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.373,751.70,1962.00,"Berlin, MD 218111726
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.607,903.25,2295.00,"Hyattsville, MD 207821001
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.857,928.46,2652.74,"Lutherville, MD 210931411
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.29,1535.00,4700.00,"Parkville, MD 212346231
(39.38911000012655, -76.5410800003416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.73,807.70,2472.00,"Woodstock, MD 211631347
(39.32852000019801, -76.86568000013176)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,4.517,2276.71,6453.24,"Berlin, MD 218112731
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,8.283,3100.00,11833.00,"Baltimore, MD 212102522
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.5,1710.00,5000.00,"Dayton, MD 210361258
(39.23501999977333, -77.00052999995938)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.57,1600.00,5100.00,"Rockville, MD 208522314
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.328,1123.75,3325.00,"Silver Spring, MD 209024015
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.405,3100.00,9150.00,"Bethesda, MD 208143504
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.365,782.50,1950.00,"Olney, MD 208322525
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,7.468,3093.10,10669.00,"Ellicott City, MD 210421335
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.36,1780.00,4800.00,"Fort Washington, MD 207444332
(38.75808999985378, -76.9834199996331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.563,1210.02,3661.50,"Silver Spring, MD 209012601
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,6.94,3036.75,9914.00,"Bowie, MD 207211281
(38.91799000013856, -76.79702999993441)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.93,1528.75,4185.00,"Rockville, MD 208501008
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.925,1027.50,2750.00,"Silver Spring, MD 209014902
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.759,2410.00,6799.00,"Catonsville, MD 212282346
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.52,1360.00,3600.00,"Glenwood, MD 217389328
(39.27975000036241, -77.021290000433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.398,1158.90,3425.40,"Chevy Chase, MD 208155602
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.899,892.05,2713.00,"Ellicott City, MD 210425716
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.698,949.10,2426.00,"Silver Spring, MD 209065807
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.943,1861.61,5633.17,"Ownings Mills, MD 211171639
(39.41747999990224, -76.78530000039456)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.052,2126.01,5788.61,"Potomac, MD 208542153
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.675,1937.50,5250.00,"Gaithersburg, MD 208773757
(39.14119000031843, -77.19101000031111)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.533,2278.75,6475.00,"Potomac, MD 208541765
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.765,982.40,2521.10,"Kettering, MD 207741920
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.192,1056.11,3131.80,"Greenbelt, MD 207702705
(38.99963999998619, -76.88768000023168)"
